"stanice","natural","diesel","okres","kraj"
"Gulf, silnice 351, Valeč",35.7,34.9,"Třebíč","Vysočina"
"Benzina, Bystrcká, Brno-Bystrc",37.4,37.2,"Brno-město","Jihomoravský"
"OMV, Československého exilu 1912/2, Praha 4-Modřan",37.7,38.7,"Hlavní město Praha","Hlavní město Praha"
"Koloc Oil, silnice 605, Kařez 29",34.8,33.7,"Rokycany","Plzeňský"
"Tank ONO, s.r.o., silnice 38, Církvice u Kutné Hor",32.9,32.9,"Kutná Hora","Středočeský"
"Benzina, Strážovská, Kyjov",36.5,35.5,"Hodonín","Jihomoravský"
"Agip, Rokycanská 135, Plzeň",35.9,35.2,"Plzeň-město","Plzeňský"
"Benzina, Rokycanská 160, Plzeň",35.9,35.2,"Plzeň-město","Plzeňský"
"RoBiN OIL, s.r.o., Okružní 3, Meziboří",34.8,33.8,"Most","-stecký"
"Benzina, Nádražní, Chrastava",35.5,34.5,"Liberec","Liberecký"
"PapOil, Bílokostelecká, Chrastava",35.2,34.5,"Liberec","Liberecký"
"Votava, silnice 355, Tisovec-Dřeveš",33.6,33.9,"Chrudim","Pardubický"
"PapOil, silnice 605, Kařez",34.8,33.7,"Rokycany","Plzeňský"
"ČS, Riegrova, Chotěboř",35.8,35.3,"Havlíčkův Brod","Vysočina"
"Globus, U Skleníků 1490/24, Havířov",35.39,35.39,"Karviná","Moravskoslezský"
"Shell Czech Republic, a.s., Ostravská, Havířov",36.9,36.4,"Karviná","Moravskoslezský"
"RoBiN OIL, s.r.o., Broučkova 5294, Zlín",35.9,35.3,"Zlín","Zlínský"
"Unicorn, U Koupaliště 1, Havířov",35.3,35.3,"Karviná","Moravskoslezský"
"Shell Czech Republic, a.s., Průmyslová 42, Praha 1",37.9,38.6,"Hlavní město Praha","Hlavní město Praha"
"OMV, Svatý Kříž, Svatý Kříž",35.7,32.9,"Cheb","Karlovarský"
"Tank ONO, s.r.o., silnice 21, Cheb",32.9,32.9,"Cheb","Karlovarský"
"PapOil, silnice 217, Nový Žďár 47",35.6,34.5,"Cheb","Karlovarský"
"OMV, silnice R6, Cheb",35.9,34.9,"Cheb","Karlovarský"
"PapOil, Sokolovská 1042, Kynšperk nad Ohří",36.3,35.2,"Sokolov","Karlovarský"
"Top Tank F1 gas, Selbská, Aš",36.5,35.2,"Cheb","Karlovarský"
"OMV, Ašská 2354, Cheb",36.2,35.5,"Cheb","Karlovarský"
"ČSAO Malešice, Černokostelecká 565/114, Praha 10-M",34.8,34.6,"Hlavní město Praha","Hlavní město Praha"
"PapOil, Černokostelecká, Praha 10-Malešice",35.9,35.9,"Hlavní město Praha","Hlavní město Praha"
"Agip, Černokostelecká, Praha 10-Hostivař",36.9,36.4,"Hlavní město Praha","Hlavní město Praha"
"Avanti, Průmyslová 614/30, Praha 10-Malešice",37.9,38.6,"Hlavní město Praha","Hlavní město Praha"
"Mavex Diesel, Svatý Kříž, Svatý Kříž",35.7,32.9,"Cheb","Karlovarský"
"Mavex Diesel, Svatý Kříž, Svatý Kříž",35.7,32.9,"Cheb","Karlovarský"
"Mavex Diesel, Svatý Kříž, Svatý Kříž",35.7,32.9,"Cheb","Karlovarský"
"Mavex Diesel, Svatý Kříž, Svatý Kříž",35.7,32.9,"Cheb","Karlovarský"
"LukOil, silnice R6, směr Cheb, Odrava",35.4,33.9,"Cheb","Karlovarský"
"LukOil, Okružní 36, Aš",35.7,34.5,"Cheb","Karlovarský"
"EK, Chlumčany 459",35.6,34.8,"Plzeň-jih","Plzeňský"
"OMV, Rybniční, Aš",36.4,34.8,"Cheb","Karlovarský"
"OMV, Selbská, Aš",36.2,35.2,"Cheb","Karlovarský"
"RoBiN OIL, s.r.o., silnice 27, Borovy 92",35.8,35.9,"Klatovy","Plzeňský"
"Benzina, Kostelecká, Neratovice",35.7,34.9,"Mělník","Středočeský"
"Agip, silnice 214, Svatý Kříž",35.7,32.9,"Cheb","Karlovarský"
"ČS, Svatý Kříž 271, Cheb",35.7,32.9,"Cheb","Karlovarský"
"Benzina, Vrbenského, Cheb",35.5,34.5,"Cheb","Karlovarský"
"Benzina Plus, Aleje, Františkovy Lázně",35.5,34.5,"Cheb","Karlovarský"
"Benzina Plus, silnice R6, směr Sokolov, Odrava-Obi",36.5,35.5,"Cheb","Karlovarský"
"Agip, silnice E48, směr Karlovy Vary, Pomezí nad O",36.9,35.9,"Cheb","Karlovarský"
"Agip, silnice E48, směr Německo, Pomezí nad Ohří",36.9,35.9,"Cheb","Karlovarský"
"Agip, silnice E49, Frantiskovy Lázne-Horní Lomany",35.5,34.5,"Cheb","Karlovarský"
"Tank ONO, s.r.o., Žižkova 10, Jihlava",32.9,32.9,"Jihlava","Vysočina"
"Benzina, Karlovarská, Bečov nad Teplou",36.5,35.9,"Karlovy Vary","Karlovarský"
"Silmet, Mladoboleslavská 766, Praha 9-Vinoř",36.7,35.9,"Hlavní město Praha","Hlavní město Praha"
"Patrol Mobile, Romana Havelky 3/4857, Jihlava",32.9,32.9,"Jihlava","Vysočina"
"OMV, silnice 14, Česká Třebová-Lhotka",35.9,35.2,"Ústí nad Orlicí","Pardubický"
"K1, Osvobození 268, Uherský Ostroh",36.7,36.5,"Uherské Hradiště","Zlínský"
"Shell Czech Republic, a.s., silnice R46, směr Vyšk",38.9,38.9,"Vyškov","Jihomoravský"
"OMV, U zahrádek 93, Klimkovice-Václavovice",36.9,36.4,"Nový Jičín","Moravskoslezský"
"Benzina, Revoluční, České Velenice",35.7,34.7,"Jindřichův Hradec","Jihočeský"
"Benzina, Pražská, Suchdol nad Lužnicí",35.9,34.9,"Jindřichův Hradec","Jihočeský"
"OMV, silnice 55, Lužice",36.2,35.5,"Hodonín","Jihomoravský"
"František Těžký, Nádražní 252, Ždánice",34.9,34.4,"Hodonín","Jihomoravský"
"VM Autocentrum, Žarošice",35.9,34.7,"Hodonín","Jihomoravský"
"Kamaro Oil, Drhovice 72",33.5,33.2,"Tábor","Jihočeský"
"Benzina Plus, Ve Školce 913, Protivín",35.5,34.9,"Písek","Jihočeský"
"Benzina, Čs. Legií 5/93, Milevsko",34.7,34.5,"Písek","Jihočeský"
"PapOil, Fučíkova 980, Protivín",35.5,34.9,"Písek","Jihočeský"
"Oktan, Hradecká, Kunžak",34.5,34.5,"Jindřichův Hradec","Jihočeský"
"PROTON, s.r.o., Švermova 899, 398 11 Protivín",35.3,34.7,"Písek","Jihočeský"
"OMV, 17. listopadu, Dvůr Králové nad Labem",36.4,35.5,"Trutnov","Královéhradecký"
"Pletka, Češnovice 13, Pištín",34.8,34.2,"České Budějovice","Jihočeský"
"ICOM Transport, Jiráskova 1424/78, Jihlava",33.9,33.4,"Jihlava","Vysočina"
"Tesco Stores ČR, a.s., Rudolická 4, Most",36.6,35.6,"Most","-stecký"
"Top Tank F1 gas, Kraslice-Hraničná",36.5,35.2,"Sokolov","Karlovarský"
"Benzina, Přístavní, Ústí nad Labem",36.2,35.5,"Ústí nad Labem","-stecký"
"Shell Czech Republic, a.s., Sociální péče, Ústí na",36.9,35.9,"Ústí nad Labem","-stecký"
"Albert ČS, Srbická 466, Teplice",32.9,32.9,"Teplice","-stecký"
"Shell Czech Republic, a.s., Masarykova třída 1880,",36.9,35.9,"Teplice","-stecký"
"Agro Žamberk, Zemědělská 1004, Žamberk",35.5,35.2,"Ústí nad Orlicí","Pardubický"
"Shell Czech Republic, a.s., Chomutovská 1197, Most",37.2,36.5,"Most","-stecký"
"Tank ONO, s.r.o., Riegrova, Teplice",32.9,32.9,"Teplice","-stecký"
"OMV, Ruská 277, směr Teplice, Dubí",36.9,35.9,"Teplice","-stecký"
"OMV, Dubská 3095, Teplice",36.9,35.9,"Teplice","-stecký"
"Benzina, silnice R6, směr Karlovy Vary, Velká Dobr",35.9,34.9,"Kladno","Středočeský"
"Benzina Plus, silnice R6, směr Praha, Velká Dobrá",35.5,34.9,"Kladno","Středočeský"
"Instop, Dobřív",35.9,35.4,"Rokycany","Plzeňský"
"Shell Czech Republic, a.s., Nákladní, Teplice",36.9,35.9,"Teplice","-stecký"
"Benzina, Bílinská 836, do centra, Bílina",35.5,34.3,"Teplice","-stecký"
"Pasoil, Osecká 163, Duchcov",36.7,35.7,"Teplice","-stecký"
"Benzina, Bílinská 835, z centra, Bílina",35.5,34.3,"Teplice","-stecký"
"Pasoil, Karlovarská 15, Stochov",36.5,35.9,"Kladno","Středočeský"
"Avanti, Starokolínská, Praha 9-Újezd nad Lesy",36.5,36.2,"Hlavní město Praha","Hlavní město Praha"
"OMV, Mladoboleslavská, Praha 9-Kbely",37.7,38.3,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Karlovarská, Nejdek",35.5,34.9,"Karlovy Vary","Karlovarský"
"Benzina Plus, Bělohorská, Praha 6-Bílá Hora",37.2,37.7,"Hlavní město Praha","Hlavní město Praha"
"Zdeněk Hanzlíček, Plzeňská 550, Plasy",36.5,35.9,"Plzeň-sever","Plzeňský"
"Zdeněk Hanzlíček, Plzeňská 550, Plasy",36.5,35.9,"Plzeň-sever","Plzeňský"
"Superoktan, Čkyně 327",33.4,33.2,"Prachatice","Jihočeský"
"Globus, Poděbradská, Pardubice",32.9,32.9,"Pardubice","Pardubický"
"Albert ČS, Palackého třída 2763, Pardubice",34.9,33.9,"Pardubice","Pardubický"
"OMV, Hradecká, Pardubice",37.4,35.9,"Pardubice","Pardubický"
"OMV, Hradecká, do centra, Pardubice",37.4,35.9,"Pardubice","Pardubický"
"Olbena, Helvíkovice 6",36.5,35.4,"Ústí nad Orlicí","Pardubický"
"KM-Prona, Pražská 243, Olomouc",35.5,34.5,"Olomouc","Olomoucký"
"Globus, Pražská 39/248, Olomouc",35.3,34.3,"Olomouc","Olomoucký"
"Benzina, Komenského, Horažďovice",35.8,34.9,"Klatovy","Plzeňský"
"Maja Oil, Pražská 503, Žebrák",34.9,34.9,"Beroun","Středočeský"
"Benzina, Na Kopečku 995, Třeboň",36.9,35.9,"Jindřichův Hradec","Jihočeský"
"Benzina Plus, Třebíčská, Náměšť nad Oslavou",35.1,34.3,"Třebíč","Vysočina"
"Globus, Obchodní, Jenišov u Karlových Varů",35.8,34.8,"Karlovy Vary","Karlovarský"
"Medos, Závodu míru 82/72, Karlovy Vary-Stará Role",35.5,34.8,"Karlovy Vary","Karlovarský"
"Miroslav Müller, Hrnčířská 1046, Chodov",36.4,35.4,"Sokolov","Karlovarský"
"MTV Group, silnice 209, Mezirolí",35.8,36.2,"Karlovy Vary","Karlovarský"
"OMV, Západní, Karlovy Vary",36.9,36.7,"Karlovy Vary","Karlovarský"
"Egeria, Horní 1071, Chodov",36.8,36.7,"Sokolov","Karlovarský"
"Agip, Stará Kysibelská, Karlovy Vary",36.9,36.2,"Karlovy Vary","Karlovarský"
"Benzina, silnice 13, Dalovice-Všeborovice",36.5,36.2,"Karlovy Vary","Karlovarský"
"Benzina Plus, Pražská, Bochov",36.4,36.2,"Karlovy Vary","Karlovarský"
"Benzina, Karlovarská, Chodov",35.9,36.5,"Sokolov","Karlovarský"
"Automega, třída Osvoboditelů, Horní Slavkov",37.1,36.9,"Sokolov","Karlovarský"
"RoBiN OIL, s.r.o., Plzeňská, Blatná",35.9,34.9,"Strakonice","Jihočeský"
"J Tank, Halámky",36.6,35.6,"Jindřichův Hradec","Jihočeský"
"Gold, Ostravská 177, Bohumín",33.9,33.9,"Karviná","Moravskoslezský"
"Daitech, Tuřice 3",36.5,35.7,"Mladá Boleslav","Středočeský"
"Agip, Olbrachtova 1040/2, Praha 4-Pankrác",38.7,37.6,"Hlavní město Praha","Hlavní město Praha"
"RoBiN OIL, s.r.o., silnice 603, Chotoviny",34.3,33.7,"Tábor","Jihočeský"
"Agra Deštná, Hradecká 320, Deštná",33.2,33.6,"Jindřichův Hradec","Jihočeský"
"Benzina Plus, Kaplická 469, Velešín",36.7,36.2,"Leský Krumlov","Jihočeský"
"Marcela Pešková, Dr. Karla Farského 356, Vysoké na",35.3,34.9,"Semily","Liberecký"
"Tesco Stores ČR, a.s., Soběslavská 3038, Tábor",33.9,33.9,"Tábor","Jihočeský"
"OMV, Soběslavská 2529, Tábor",36.4,36.4,"Tábor","Jihočeský"
"Unicorn, Pivovarská, Uherské Hradiště-Jarošov",35.1,34.4,"Uherské Hradiště","Zlínský"
"Konzum, Dobrušská 724, Opočno",34.5,34.2,"Rychnov nad Kněžnou","Královéhradecký"
"Benzina, Poděbradská, Sadská",35.5,34.5,"Nymburk","Středočeský"
"Konaco, Poděbradská, Sadská",35.5,34.5,"Nymburk","Středočeský"
"Topexol, Žižkova 121, Luže",34.4,34.2,"Chrudim","Pardubický"
"PapOil, silnice E442, Hájek-Nová Víska",36.5,35.9,"Karlovy Vary","Karlovarský"
"Gulf, Na poříčí 3241, Frýdek-Místek",33.3,32.9,"Frýdek-Místek","Moravskoslezský"
"RoBiN OIL, s.r.o., V Hamru 2505, Rakovník",35.9,34.9,"Rakovník","Středočeský"
"Shell Czech Republic, a.s., silnice R6, směr Praha",36.3,35.9,"Kladno","Středočeský"
"Pasoil, Moskevská, Vejprty",36.6,34.3,"Chomutov","-stecký"
"Tank ONO, s.r.o., Studentská 57, Plzeň",32.9,32.9,"Plzeň-město","Plzeňský"
"Eurobit, Chrudimská, Pardubice",33.3,32.9,"Pardubice","Pardubický"
"OMV, Osvobození 691, Klášterec nad Ohří",36.2,35.5,"Chomutov","-stecký"
"Benzina Plus, dálnice D5, směr Rozvadov, Kladruby",39.5,38.9,"Tachov","Plzeňský"
"OMV, dálnice D5, směr Plzeň, Kladruby",39.9,39.9,"Tachov","Plzeňský"
"Shell Czech Republic, a.s., dálnice D5, směr Rozva",39.9,39.9,"Tachov","Plzeňský"
"Shell Czech Republic, a.s., dálnice D5, směr Plzeň",39.9,39.9,"Tachov","Plzeňský"
"ATS Company, Třanovského, Dolní Lutyně",35.5,35.2,"Karviná","Moravskoslezský"
"Benzina, Karlovarská 624, Klášterec nad Ohří",36.2,35.5,"Chomutov","-stecký"
"Gull Oil, Úněšovská, Plzeň",32.9,32.9,"Plzeň-město","Plzeňský"
"ATS COMPANY (u Motelu Karvinská, Dolní Lutyně",35.5,35.2,"Karviná","Moravskoslezský"
"RoBiN OIL, s.r.o., silnice 145, Hartmanice",35.9,35.5,"Klatovy","Plzeňský"
"PIER-PAM s.r.o.",35.9,35.2,"Nový Jičín","Moravskoslezský"
"Agip, Brněnská, do centra, Praha 4-Chodov",37.8,38.3,"Hlavní město Praha","Hlavní město Praha"
"Agip, Brněnská, z centra, Praha 4-Chodov",37.8,38.3,"Hlavní město Praha","Hlavní město Praha"
"Progres, Rybničná 1913, 73532 Rychvald",34,34,"Karviná","Moravskoslezský"
"Shell, Na Stuchlíkovci 1347, Orlová-Lutyně",35.9,35.9,"Karviná","Moravskoslezský"
"LukOil, K Barrandovu, Praha 5-Barrandov",37,34.5,"Hlavní město Praha","Hlavní město Praha"
"OMV, K Barrandovu 10, Praha 5-Barrandov",37.2,34.5,"Hlavní město Praha","Hlavní město Praha"
"OMV, K Barrandovu 6, Praha 5-Barrandov",37.2,34.5,"Hlavní město Praha","Hlavní město Praha"
"Benzina Plus, Kolbenova, Praha 9-Hloubětín",35.9,35.2,"Hlavní město Praha","Hlavní město Praha"
"Shell Czech Republic, a.s., Geologická, Praha 5-Hl",38.3,37.5,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Drátovenská, Bohumín",34.5,32.9,"Karviná","Moravskoslezský"
"Drast, Chyšky 13",37.9,36.7,"Písek","Jihočeský"
"Tesco Stores ČR, a.s., Novinářská 6a, Ostrava",36.2,35.2,"Ostrava-město","Moravskoslezský"
"Jaroslav Havel, Smutná, Libáň",35.5,34.9,"Jičín","Královéhradecký"
"Slovnaft, Hlučínská, Ostrava",36.1,35.1,"Ostrava-město","Moravskoslezský"
"Transeurope, Ostravská 204, Bohumín",34,34,"Karviná","Moravskoslezský"
"Benzina, Hrotovická, Třebíč",34.5,34.7,"Třebíč","Vysočina"
"Shell Czech Republic, a.s., Těšínská 37, Ostrava",36.9,36.7,"Ostrava-město","Moravskoslezský"
"ICOM Transport, Průmyslová 159, Třebíč",33.9,33.4,"Třebíč","Vysočina"
"Shell Czech Republic, a.s., Novinářská 533, Ostrav",36.9,36.7,"Ostrava-město","Moravskoslezský"
"Shell Czech Republic, a.s., Markvartovická 7, Hluč",36.9,36.7,"Opava","Moravskoslezský"
"AV Tank, Stehelčeves",35.4,34.7,"Kladno","Středočeský"
"Unicorn, Brněnská 61, Hodonín",35.7,35.3,"Hodonín","Jihomoravský"
"ERNEKS/oil TEAM, U Nových válcoven 3, Ostrava-Mari",35.8,34.8,"Ostrava-město","Moravskoslezský"
"Shell Czech Republic, a.s., Brněnská 63, Hodonín",36.7,35.8,"Hodonín","Jihomoravský"
"Benzina, Brněnská, Hodonín",36.9,36.5,"Hodonín","Jihomoravský"
"Benzina, Plaská 442, Kaznějov",36.2,35.5,"Plzeň-sever","Plzeňský"
"OMV, Těšínská 2047, Ostrava-Radvanice",36.9,36.7,"Ostrava-město","Moravskoslezský"
"Pletka, Chvalšiny, 382 08",36.3,36.3,"Leský Krumlov","Jihočeský"
"Agip, Chvalšinská 244, Český Krumlov",37.3,37.2,"Leský Krumlov","Jihočeský"
"Boxit, Dvorská 194, Kájov",37.6,37.6,"Leský Krumlov","Jihočeský"
"OMV, Místecká 3220, Moravská Ostrava",36.9,36.7,"Ostrava-město","Moravskoslezský"
"OMV, Mariánskohorská, Moravská Ostrava",36.9,35.7,"Ostrava-město","Moravskoslezský"
"Slovnaft, silnice 57, Valašská Polanka",36.5,36.9,"Vsetín","Zlínský"
"Oil Team, Těšínská 177, Ostrava-Slezská Ostrava",33.3,32.9,"Ostrava-město","Moravskoslezský"
"Eurobit Oil, Dětmarovice-Koukolná 75",33.3,32.9,"Karviná","Moravskoslezský"
"Oil Team, Markvartovická 9c, Ludgeřovice",34.9,35.4,"Opava","Moravskoslezský"
"Muso, Lazecká 1209, Orlová",35.5,35.5,"Karviná","Moravskoslezský"
"OMV, Argentinská 166/42, Praha 7-Holešovice",37.9,38.9,"Hlavní město Praha","Hlavní město Praha"
"LukOil, Lipnická 536, Přerov",35.5,35.2,"Přerov","Olomoucký"
"LukOil, Bohumínská, Ostrava",35.4,34.4,"Ostrava-město","Moravskoslezský"
"Benzina, 1.máje 2637, Rožnov pod Radhoštěm",36.4,36.2,"Vsetín","Zlínský"
"OMV, Meziříčská 2303, Rožnov pod Radhoštěm",36.9,36.9,"Vsetín","Zlínský"
"Limitoo, Vigantice",35.9,34.9,"Vsetín","Zlínský"
"Benzina Plus, Horní Paseky 2270, Rožnov pod Radhoš",36.4,36.2,"Vsetín","Zlínský"
"ERNEKS/oil TEAM, Dolní Bečva 589, Dolní Bečva",35.9,34.9,"Vsetín","Zlínský"
"Benzina Plus, Březová 4525/33, Jablonec nad Nisou",36.2,35.4,"Jablonec nad Nisou","Liberecký"
"Shell Czech Republic, a.s., Limuzská 10, Praha 10-",36.9,36.9,"Hlavní město Praha","Hlavní město Praha"
"Adam, Koželská 1273, Ledeč nad Sázavou",34.6,34.9,"Havlíčkův Brod","Vysočina"
"Lucky CS Gold, Horní Bečva 436",35.9,34.9,"Vsetín","Zlínský"
"Benzina, Hradecká 91, Dačice",36.2,35.4,"Jindřichův Hradec","Jihočeský"
"Benzina, Mařížská 259, Slavonice",35.9,35.2,"Jindřichův Hradec","Jihočeský"
"Benzina, Dělnická 527, Dačice",36.2,35.4,"Jindřichův Hradec","Jihočeský"
"Benzina, silnice E442, Jablonné v Podještědí",35.6,34.8,"Česká Lípa","Liberecký"
"Kontakt, Tatobity 164",35.9,35.4,"Semily","Liberecký"
"LukOil, Mariánskohorská, Ostrava",35.4,34.4,"Ostrava-město","Moravskoslezský"
"Karimpex, Petrovice u Karviné",36.5,36.5,"Karviná","Moravskoslezský"
"RoBiN OIL, s.r.o., Puškinova 679, Klatovy",35.3,34.5,"Klatovy","Plzeňský"
"KM-Prona, Štefánikova, Dvůr Králové nad Labem",35.5,34.9,"Trutnov","Královéhradecký"
"TOLOSANER a.s., Metylovská 269, Frýdlant nad Ostr",35.6,34.6,"Frýdek-Místek","Moravskoslezský"
"Shell Czech Republic, a.s., silnice 483, Čeladná",36.9,36.2,"Frýdek-Místek","Moravskoslezský"
"PapOil, Gerská 1959/35, Plzeň-Bolevec",35.5,35.2,"Plzeň-město","Plzeňský"
"Benzina, silnice 56, směr Frýdek-Místek, Frýdlant",36.2,35.6,"Frýdek-Místek","Moravskoslezský"
"Benzina, Hlavní 1486, Frýdlant nad Ostravicí",36.2,35.6,"Frýdek-Místek","Moravskoslezský"
"Benzina, Hradecká 53/2437, Opava",36.9,36.2,"Opava","Moravskoslezský"
"Autoplus, třída Budovatelů 21/624, Most",36.1,35.1,"Most","-stecký"
"Slovnaft, Olomoucká 50, Přerov",35.7,35.7,"Přerov","Olomoucký"
"Benzina, silnice 56, směr Ostravice, Frýdlant nad",36.2,35.6,"Frýdek-Místek","Moravskoslezský"
"Shell Czech Republic, a.s., Hrádecká 379, Sušice",35.9,35.9,"Klatovy","Plzeňský"
"ČSAD, Okružní, Orlová-Lutyně",36.4,35.7,"Karviná","Moravskoslezský"
"OMV, silnice E55, směr Praha, Tábor",36.4,36.4,"Tábor","Jihočeský"
"PaedDr. Monika Kutilová, Chýnovská, Tábor",35.5,35,"Tábor","Jihočeský"
"Comett Plus, Chýnovská 1917/9, Tábor",35.9,35.5,"Tábor","Jihočeský"
"Shell Czech Republic, a.s., Chýnovská 2217, Tábor",36.4,35.9,"Tábor","Jihočeský"
"Benzina Plus, Třída 17. listopadu, Karviná",35.9,36.2,"Karviná","Moravskoslezský"
"Benzina, Ostravská 421, směr Ostrava, Petřvald",35.5,35.5,"Karviná","Moravskoslezský"
"Společnost 67, Veveří 212, Ostrovačice",34.9,34.3,"Brno-venkov","Jihomoravský"
"RoBiN OIL, s.r.o., Strakonická 1057, Horažďovice",35.8,34.9,"Klatovy","Plzeňský"
"Benzina, Ostravská 475, směr Karviná, Petřvald",35.5,35.5,"Karviná","Moravskoslezský"
"Benzina, Muglinovská 84, Ostrava-Slezská Ostrava",36.2,35.4,"Ostrava-město","Moravskoslezský"
"Nova Invest, Sklenářka 31, Tlustice",33.5,33.1,"Beroun","Středočeský"
"OMV, Těšínská 30, Opava",36.9,36.9,"Opava","Moravskoslezský"
"A+S, Těšínská 38, Opava",35.2,35.1,"Opava","Moravskoslezský"
"Kontakt, Podůlší",35.7,34.7,"Jičín","Královéhradecký"
"Benzina, Hlučínská 1111, Ostrava-Přívoz",36.2,35.4,"Ostrava-město","Moravskoslezský"
"Albert ČS, Přerovská 90, Velký Týnec-Vsisko",35.3,34.3,"Olomouc","Olomoucký"
"Albert ČS, Olomoucká 2844/115, Opava",35.5,34.5,"Opava","Moravskoslezský"
"Benzina, Česká Ves Jesenická",36.5,36.2,"Jeseník","Olomoucký"
"LukOil, Velebudická 1241/1, Most",34.3,33,"Most","-stecký"
"Tesco Stores ČR, a.s., Těšínská 2914/44, Opava",35.5,34.5,"Opava","Moravskoslezský"
"Starpetrol, Vítězná, Ratíškovice",37.2,36.5,"Hodonín","Jihomoravský"
"MAKRO Cash & Carry ČR, s.r.o., Kaštanová 50/506, B",36,34.9,"Brno-město","Jihomoravský"
"Kolev, Brněnská 554, Velké Němčice",36.2,36.2,"Břeclav","Jihomoravský"
"Oil Team, Hlavní 2313, Žulová",34.9,35.4,"Jeseník","Olomoucký"
"Agip, Šumperská 434, Jeseník",36.9,36.5,"Jeseník","Olomoucký"
"Motomo, silnice 421, Bořetice",36.9,36.7,"Břeclav","Jihomoravský"
"Auto Kápl, Malé Nepodřice 41",33.9,33.9,"Písek","Jihočeský"
"Jambor, Silnice 416, Blučina",35.7,34.5,"Brno-venkov","Jihomoravský"
"Chemis engine, silnice 52, směr Mikulov, Pasohlávk",36.8,35.2,"Břeclav","Jihomoravský"
"PapOil, silnice 52, Ivaň 236",36.7,35.2,"Břeclav","Jihomoravský"
"LUTO GAS",33.9,33.9,"Karviná","Moravskoslezský"
"PapOil, Nádražní, Velké Pavlovice",36.2,35.9,"Břeclav","Jihomoravský"
"RoBiN OIL, s.r.o., Čepirožská, Most",33.9,32.9,"Most","-stecký"
"PapOil, Obchodní 2, Most",35.2,34.4,"Most","-stecký"
"Radek Lehký, Zemědělská, Žabčice",36.5,35.9,"Brno-venkov","Jihomoravský"
"RoBiN OIL, s.r.o., Řipská 3, Brno-Slatina",36.9,36.9,"Brno-město","Jihomoravský"
"Benzina, Čepirožská 38, Most",35.4,34.7,"Most","-stecký"
"OMV, Hranicní 1930, Most",37.2,36.5,"Most","-stecký"
"AB Oil, Nádražní, Kunín",36.89,35.89,"Nový Jičín","Moravskoslezský"
"Shell Czech Republic, a.s., Žarošická, Brno-Malomě",37.8,37.3,"Brno-město","Jihomoravský"
"Slovnaft, Malostranská 579, Šenov u Nového Jičína",35.4,35.2,"Nový Jičín","Moravskoslezský"
"Shell Czech Republic, a.s., Zborovská 42, Nový Jič",36.9,36.7,"Nový Jičín","Moravskoslezský"
"Shell Czech Republic, a.s., Bratislavská, Hustopeč",37.4,37.2,"Břeclav","Jihomoravský"
"Benzina, Provozská, Dobruška",36.2,35.5,"Rychnov nad Kněžnou","Královéhradecký"
"LukOil, Suvorovova, Nový Jičín",35.4,35.2,"Nový Jičín","Moravskoslezský"
"Slovnaft, Ostravská, Brno-Slatina",37.5,37.5,"Brno-město","Jihomoravský"
"Benzina Plus, Suvorovova, Nový Jičín",36.2,35.5,"Nový Jičín","Moravskoslezský"
"Unicorn, Žarošická, Brno",35.9,35.4,"Brno-město","Jihomoravský"
"Zoregas, Blučina 702, 664 56",34.4,33.7,"Brno-venkov","Jihomoravský"
"Chemis engine, silnice 52, směr Pohořelice, Pasohl",36.8,35.2,"Břeclav","Jihomoravský"
"ČSAD Hodonín, Tuřanka 115/1222, Brno-Slatina",35.9,35.9,"Brno-město","Jihomoravský"
"Benzina Plus, Hviezdoslavova, Brno",37.9,37.3,"Brno-město","Jihomoravský"
"Elko Oil, Huslenky 662",36.9,36.3,"Vsetín","Zlínský"
"Benzina, Brněnská, Pohořelice",37.2,35.9,"Břeclav","Jihomoravský"
"Agip, Bělehradská, Praha 2",36.9,37.3,"Hlavní město Praha","Hlavní město Praha"
"Bentel, Draha, Telnice",36.2,35.6,"Brno-venkov","Jihomoravský"
"AVIA, Hviezdoslavova 1173/1b, Brno-Slatina",37.9,37.5,"Brno-město","Jihomoravský"
"Agrotec Group, Brněnská 74/12, Hustopeče",37.4,37.2,"Břeclav","Jihomoravský"
"Agip, Pardubická, Chrudim",37.2,36.2,"Chrudim","Pardubický"
"Agip, Sedláčkova 2, Brno-Líšeň",37.7,37.2,"Brno-město","Jihomoravský"
"Baltic Oil, Rudé armády 2079, Karviná-Hranice",36.2,35.5,"Karviná","Moravskoslezský"
"HDB, Osvobození, České Meziříčí",36.4,35.4,"Rychnov nad Kněžnou","Královéhradecký"
"Albert ČS, Nádražní 4A/1939, Karviná",36.4,36.4,"Karviná","Moravskoslezský"
"Autorest, Náchodská 1235, Červený Kostelec",35.8,34.9,"Náchod","Královéhradecký"
"PapOil, Pražská 317, Milevsko",34.7,34.5,"Písek","Jihočeský"
"Agip, Polní 5, Přerov",35.9,35.5,"Přerov","Olomoucký"
"OMV, Cimburkova, Brno-Ponava",37.2,37.2,"Brno-město","Jihomoravský"
"OMV, Porgesova, Brno",37.2,37.2,"Brno-město","Jihomoravský"
"Slovnaft, silnice R43, směr Brno, Česká",35.9,34.9,"Brno-venkov","Jihomoravský"
"Albert ČS, Masarykova třída 1333, Orlová",35.5,35.5,"Karviná","Moravskoslezský"
